label_raw,text,label_ocean,key
Gregariousness,Don't act wild and crazy,E,1
Anxiety,Are not afraid that you will do the wrong thing,N,1
Emotionality,Are not annoyed by others' mistakes,O,1
Anxiety,Are not easily hurt,N,1
Emotionality,Are not easily put out,O,1
Orderliness,Are not exacting in your work,C,1
Assertiveness,Are afraid of providing criticism,E,1
Orderliness,Are bothered by disorder,C,-1
Orderliness,Are bothered by messy people,C,-1
Emotionality,Are easily annoyed,O,-1
Anxiety,Are easily bothered by things,N,-1
Emotionality,Are not quick to judge others,O,1
Friendliness,Are not quiet around strangers,E,-1
Gregariousness,Are not the last to laugh at a joke,E,-1
Gregariousness,Are not the life of the party,E,1
Gregariousness,Don't use your friends,E,1
Dutifulness,Don't believe in one true religion,C,1
Dutifulness,Don't believe laws should be strictly enforced,C,1
Dutifulness,Don't break rules,C,-1
Assertiveness,Can't take strong measures,E,1
Emotionality,Can stand being contradicted,O,1
Intellect,Don't consider yourself an average person,O,-1
Orderliness,Don't continue until everything is perfect,C,1
Intellect,Don't counter others' arguments,O,1
Gregariousness,Like loud music,E,-1
Imagination,Don't do things by the book,O,-1
Imagination,Don't do things that others find strange,O,1
Imagination,Don't do unexpected things,O,1
Anxiety,Let others discourage me,N,-1
Gregariousness,Like crowded events,E,-1
Friendliness,Mind being the center of attention,E,1
Anxiety,Worry about things that have already happened,N,-1
Gregariousness,Don't enjoy being part of a loud crowd,E,1
Imagination,Don't enjoy wild flights of fantasy,O,1
Friendliness,Don't feel comfortable around people,E,1
Anxiety,Don't feel crushed by setbacks,N,1
Anxiety,"Don't feel guilty when you say ""no.""",N,1
Anxiety,Don't feel threatened easily,N,1
Friendliness,Don't find it difficult to approach others,E,-1
Emotionality,Don't get angry easily,O,1
Orderliness,Don't get chores done right away,C,1
Intellect,Don't get confused easily,O,-1
Emotionality,Don't get irritated easily,O,1
Emotionality,Don't have a good word for everyone,O,-1
Intellect,Don't have a poor vocabulary,O,-1
Friendliness,Don't have little to say,E,-1
Gregariousness,Don't joke around a lot,E,1
Emotionality,Don't judge people by their appearance,O,1
Friendliness,Don't keep in the background,E,-1
Dutifulness,Don't know how to get around the rules,C,-1
Intellect,Don't know that you are not a special person,O,-1
Intellect,Don't know the answers to many questions,O,1
Intellect,Don't learn quickly,O,1
Orderliness,Don't leave a mess in your room,C,-1
Orderliness,Don't leave your belongings around,C,-1
Assertiveness,Don't let yourself be pushed around,E,-1
Assertiveness,Don't let others make the decisions,E,-1
Orderliness,Don't like order,C,1
Imagination,Don't like to get lost in thought,O,1
Dutifulness,Don't like to stand during the national anthem,C,1
Gregariousness,Hate large parties,E,1
Imagination,Hate to daydream,O,1
Friendliness,Don't make friends easily,E,1
Intellect,Don't make insightful remarks,O,1
Assertiveness,Challenge things,E,-1
Friendliness,Don't often feel uncomfortable around others,E,-1
Dutifulness,Don't oppose authority,C,-1
Orderliness,Don't put off unpleasant tasks,C,-1
Intellect,Don't reflect on things before acting,O,1
Dutifulness,Don't resist authority,C,-1
Dutifulness,Don't respect authority,C,1
Assertiveness,Don't say what you think,E,1
Imagination,Often daydream,O,-1
Imagination,Often get lost in thought,O,-1
Gregariousness,Often joke around,E,-1
Intellect,Don't skip difficult words while reading,O,-1
Anxiety,Don't spend time thinking about past mistakes,N,1
Friendliness,Don't start conversations,E,1
Imagination,Don't swim against the current,O,1
Assertiveness,Don't take charge,E,1
Assertiveness,Don't take control of things,E,1
Imagination,Don't take deviant positions,O,1
Friendliness,Don't talk to a lot of different people at parties,E,1
Intellect,Don't tend to analyze things,O,1
Dutifulness,Don't try to follow the rules,C,1
Emotionality,Don't try to forgive and forget,O,-1
Intellect,Don't use your brain,O,1
Dutifulness,Don't use swear words,C,-1
Assertiveness,Don't wait for others to lead the way,E,-1
Assertiveness,Don't want to be in charge,E,1
Intellect,Don't weigh the pros against the cons,O,1
Anxiety,Don't worry about things,N,1
Agreeableness,Don't accept people as they are,A,1
Achievement-striving,Don't accomplish a lot of work,C,1
Adventurousness,Are not a creature of habit,O,-1
Agreeableness,Are not annoyed by others' mistakes,A,-1
Adventurousness,Are not attached to conventional ways,O,-1
Orderliness,Are not continually losing things,C,-1
Agreeableness,Are not easily offended,A,-1
Extraversion,Are not good at making impromptu speeches,E,1
Gregariousness,Are not hard to get to know,E,-1
Agreeableness,Are not inclined to forgive others,A,1
Intellectual Openness,Are not interested in many things,O,1
Agreeableness,Are disturbed by events,A,1
Extraversion,Are good at getting people to like me,E,-1
Intellectual Openness,Are interested in abstract ideas,O,-1
Intellectual Openness,Are interested in theoretical discussions,O,-1
Intellectual Openness,Are not open to change,O,1
Extraversion,Are not skilled in handling social situations,E,1
Gregariousness,Don't avoid company,E,-1
Gregariousness,Don't avoid contacts with others,E,-1
Orderliness,Can't never find anything,C,-1
Extraversion,Can't talk others into doing things,E,1
Intellectual Openness,Don't carry the conversation to a higher level,O,1
Adventurousness,Like changes,O,-1
Adventurousness,Like the unknown,O,-1
Achievement-striving,Don't do a lot in your spare time,C,1
Achievement-striving,Don't do just enough work to get by,C,-1
Achievement-striving,Don't do more than what's expected of me,C,1
Orderliness,Don't do unpleasant tasks immediately,C,1
Adventurousness,Like to travel,O,-1
Achievement-striving,Don't excel in what you do,C,1
Extraversion,Don't express yourself easily,E,1
Gregariousness,Don't feel comfortable around people,E,1
Extraversion,Don't find it difficult to approach others,E,-1
Achievement-striving,Don't find it difficult to get down to work,C,-1
Agreeableness,Don't get back at others,A,-1
Achievement-striving,Don't hang around doing nothing,C,-1
Extraversion,Don't have a natural talent for influencing people,E,1
Orderliness,Don't have an eye for detail,C,1
Agreeableness,Don't hold a grudge,A,-1
Extraversion,Don't keep in the background,E,-1
Gregariousness,Don't keep others at a distance,E,-1
Extraversion,Don't lack the talent for influencing people,E,-1
Orderliness,Don't like to tidy up,C,1
Adventurousness,Don't like to visit new places,O,1
Gregariousness,Don't make friends easily,E,1
Achievement-striving,Don't need a push to get started,C,-1
Gregariousness,Don't often feel uncomfortable around others,E,-1
Orderliness,Don't often forget to put things back in their proper place,C,1
Achievement-striving,Don't plunge into tasks with all your heart,C,1
Intellectual Openness,Prefer not to stick with things that you know,O,-1
Intellectual Openness,Don't prefer variety to routine,O,1
Intellectual Openness,Often look for a deeper meaning in things,O,-1
Adventurousness,Don't seek adventure,O,1
Achievement-striving,Don't shirk your duties,C,-1
Gregariousness,Don't start conversations,E,1
Agreeableness,Don't take things as they come,A,1
Gregariousness,Don't talk to a lot of different people at parties,E,1
Agreeableness,Don't tolerate a lot from others,A,1
Intellectual Openness,Don't try to avoid complex people,O,-1
Adventurousness,Don't try to do too difficult things,O,1
Agreeableness,Don't try to forgive and forget,A,1
Intellectual Openness,Don't want to increase your knowledge,O,1
Gregariousness,Don't warm up quickly to others,E,1
Extraversion,Wouldn't describe your experiences as somewhat dull,E,-1
Adventurousness,Wouldn't like to live for awhile in a different country,O,1
Adventurousness,Would go hang-gliding or bungee-jumping,O,-1
Conscientiousness,Don't act wild and crazy,C,-1
Agreeableness,Are not concerned about others,A,1
Intellect,Are interested in abstract ideas,O,-1
Agreeableness,Are interested in other people's problems,A,-1
Extraversion,Are not open about your feelings,E,1
Intellect,Don't avoid difficult reading material,O,-1
Conscientiousness,Don't believe laws should be strictly enforced,C,1
Conscientiousness,Don't break rules,C,-1
Intellect,Don't carry the conversation to a higher level,O,1
Conscientiousness,Don't do crazy things,C,-1
Conscientiousness,Don't do things by the book,C,1
Conscientiousness,Don't do things in a half-way manner,C,-1
Extraversion,Talk a lot,E,-1
Agreeableness,Don't feel others' emotions,A,1
Agreeableness,Don't find fault with everything,A,-1
Intellect,Don't have a rich vocabulary,O,1
Agreeableness,Don't have a soft heart,A,1
Extraversion,Don't have difficulty expressing your feelings,E,-1
Intellect,Don't have difficulty understanding abstract ideas,O,-1
Intellect,Don't have excellent ideas,O,1
Extraversion,Don't hold back your opinions,E,-1
Agreeableness,Don't insult people,A,-1
Conscientiousness,Don't jump into things without thinking,C,-1
Conscientiousness,Don't like order,C,1
Extraversion,Don't make friends easily,E,1
Agreeableness,Don't make people feel at ease,A,1
Extraversion,At a loss for words,E,1
Conscientiousness,Don't pay attention to details,C,1
Agreeableness,Don't put people under pressure,A,-1
Intellect,Don't quick to understand things,O,1
Extraversion,Don't speak softly,E,-1
Agreeableness,Don't sympathize with others' feelings,A,1
Agreeableness,Don't take advantage of others,A,-1
Extraversion,Don't take charge,E,1
Extraversion,Don't talk to a lot of different people at parties,E,1
Intellect,Don't try to avoid complex people,O,-1
Conscientiousness,Don't try to follow the rules,C,1
Intellect,Will probe deeply into a subject,O,-1
Conscientiousness,Don't accomplish your work on time,C,1
Morality,Don't act at the expense of others,A,-1
Friendliness,Don't act comfortably with others,E,1
Friendliness,Are not a very private person,E,-1
Assertiveness,Are not always busy,E,1
Conscientiousness,Are not careful to avoid making mistakes,C,1
Sympathy,Are not concerned about others,A,1
